Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  08:29:00,34.1,25.18203996179836 
 05/15  08:30:00,34.2,25.211519035186026 
 05/15  08:31:00,34.2,25.241175837723286 
 05/15  08:32:00,34.3,25.271006830435393 
 05/15  08:33:00,34.4,25.301018675575374 
 05/15  08:34:00,34.4,25.33120145232746 
 05/15  08:35:00,34.5,25.36154691159494 
 05/15  08:36:00,34.5,25.392060625898417 
 05/15  08:37:00,34.6,25.422733287544027 
 05/15  08:38:00,34.7,25.453567782123315 
 05/15  08:39:00,34.7,25.4845638753535 
 05/15  08:40:00,34.8,25.51570796280333 
 05/15  08:41:00,34.8,25.547002280003415 
 05/15  08:42:00,34.9,25.57844768590728 
 05/15  08:43:00,34.9,25.610041959597712 
 05/15  08:44:00,35.0,25.64178165430249 
 05/15  08:45:00,35.1,25.67366338733318 
 05/15  08:46:00,35.1,25.705684191163648 
 05/15  08:47:00,35.2,25.73784144003438 
 05/15  08:48:00,35.2,25.770132740880214 
 05/15  08:49:00,35.3,25.802565894592476 
 05/15  08:50:00,35.3,25.83513202921522 
 05/15  08:51:00,35.4,25.86782421097288 
 05/15  08:52:00,35.4,25.900649458993534 
 05/15  08:53:00,35.5,25.93359975915164 
 05/15  08:54:00,35.5,25.96667920910806 
 05/15  08:55:00,35.6,25.999878550398762 
 05/15  08:56:00,35.7,26.03320187679344 
 05/15  08:57:00,35.7,26.066650216663167 
 05/15  08:58:00,35.8,26.100210983035257 
 05/15  08:59:00,35.8,26.133887330698307 
 05/15  09:00:00,35.9,26.167680786863894 
 05/15  09:01:00,35.9,26.2015896977898 
 05/15  09:02:00,35.9,26.235611204334628 
 05/15  09:03:00,36.0,26.269742578035434 
 05/15  09:04:00,36.0,26.303981560068877 
 05/15  09:05:00,36.0,26.338326206781183 
 05/15  09:06:00,36.1,26.372774637552943 
 05/15  09:07:00,36.1,26.407324846502494 
 05/15  09:08:00,36.1,26.44197458700296 
 05/15  09:09:00,36.2,26.476721319090696 
 05/15  09:10:00,36.2,26.5115622092792 
 05/15  09:11:00,36.2,26.54649415162823 
 05/15  09:12:00,36.3,26.581523845144485 
 05/15  09:13:00,36.3,26.61664072532363 
 05/15  09:14:00,36.3,26.65183601594864 
 05/15  09:15:00,36.4,26.687114798283854 
 05/15  09:16:00,36.4,26.72246686116483 
 05/15  09:17:00,36.4,26.757884200860637 
 05/15  09:18:00,36.5,26.793372590933657 
 05/15  09:19:00,36.5,26.82892228169774 
 05/15  09:20:00,36.5,26.864535734269996 
 05/15  09:21:00,36.6,26.900201969155145 
 05/15  09:22:00,36.6,26.935923663385076 
 05/15  09:23:00,36.6,26.971690478577745 
 05/15  09:24:00,36.6,27.00750572098002 
 05/15  09:25:00,36.7,27.043359528696108 
 05/15  09:26:00,36.7,27.07925560884422 
 05/15  09:27:00,36.7,27.115194394794212 
